Well_ID;Treatment;N_souce;miRNA;Pair;Dose(uM);Time;OD_600
A4;N.A.;Proline;N.A.;2;N.A.;17;0.165700004
A5;plant_miRNA;Proline;5642b;3;2;17;0.342999995
B1;N.A.;Proline;N.A.;1;N.A.;17;0.092600003
B3;scrambled_miRNA;Proline;5642b;2;2;17;0.305799991
B4;plant_miRNA;Proline;5642b;2;2;17;0.300900012
B5;scrambled_miRNA;Proline;5642b;3;2;17;0.299499989
B6;N.A.;Proline;N.A.;3;N.A.;17;0.086599998
C2;N.A.;Proline;N.A.;4;N.A.;17;0.169599995
C3;plant_miRNA;Proline;5642b;5;2;17;0.365200013
C4;scrambled_miRNA;Proline;5642b;5;2;17;0.322699994
D1;scrambled_miRNA;Proline;5642b;4;2;17;0.323599994
D2;plant_miRNA;Proline;5642b;4;2;17;0.332500011
D4;N.A.;Proline;N.A.;5;N.A.;17;0.114100002
A1;plant_miRNA;Proline;5642b;1;2;18;0.305999994
A2;scrambled_miRNA;Proline;5642b;1;2;18;0.294400007
A4;N.A.;Proline;N.A.;2;N.A.;18;0.162599996
A5;plant_miRNA;Proline;5642b;3;2;18;0.363499999
B1;N.A.;Proline;N.A.;1;N.A.;18;0.093500003
B3;scrambled_miRNA;Proline;5642b;2;2;18;0.335399985
B4;plant_miRNA;Proline;5642b;2;2;18;0.324299991
B5;scrambled_miRNA;Proline;5642b;3;2;18;0.314099997
B6;N.A.;Proline;N.A.;3;N.A.;18;0.087499999
C2;N.A.;Proline;N.A.;4;N.A.;18;0.1699
C3;plant_miRNA;Proline;5642b;5;2;18;0.388200015
C4;scrambled_miRNA;Proline;5642b;5;2;18;0.336600006
D1;scrambled_miRNA;Proline;5642b;4;2;18;0.344300002
D2;plant_miRNA;Proline;5642b;4;2;18;0.353500009
D4;N.A.;Proline;N.A.;5;N.A.;18;0.114100002
A1;plant_miRNA;Proline;5642b;1;2;19;0.250499994
A2;scrambled_miRNA;Proline;5642b;1;2;19;0.231800005
A4;N.A.;Proline;N.A.;2;N.A.;19;0.147499993
A5;plant_miRNA;Proline;5642b;3;2;19;0.301999986
B1;N.A.;Proline;N.A.;1;N.A.;19;0.095799997
B3;scrambled_miRNA;Proline;5642b;2;2;19;0.270200014
B4;plant_miRNA;Proline;5642b;2;2;19;0.260500014
B5;scrambled_miRNA;Proline;5642b;3;2;19;0.249300003
B6;N.A.;Proline;N.A.;3;N.A.;19;0.075099997
C2;N.A.;Proline;N.A.;4;N.A.;19;0.149200007
C3;plant_miRNA;Proline;5642b;5;2;19;0.316500008
C4;scrambled_miRNA;Proline;5642b;5;2;19;0.266000003
D1;scrambled_miRNA;Proline;5642b;4;2;19;0.322899997
D2;plant_miRNA;Proline;5642b;4;2;19;0.2755
D4;N.A.;Proline;N.A.;5;N.A.;19;0.088600002
A1;plant_miRNA;Proline;5642b;1;2;20;0.277099997
A2;scrambled_miRNA;Proline;5642b;1;2;20;0.257099986
A4;N.A.;Proline;N.A.;2;N.A.;20;0.146200001
A5;plant_miRNA;Proline;5642b;3;2;20;0.328999996
B1;N.A.;Proline;N.A.;1;N.A.;20;0.096600004
B3;scrambled_miRNA;Proline;5642b;2;2;20;0.280499995
B4;plant_miRNA;Proline;5642b;2;2;20;0.294200003
B5;scrambled_miRNA;Proline;5642b;3;2;20;0.274599999
B6;N.A.;Proline;N.A.;3;N.A.;20;0.082000002
C2;N.A.;Proline;N.A.;4;N.A.;20;0.150999993
C3;plant_miRNA;Proline;5642b;5;2;20;0.33039999
C4;scrambled_miRNA;Proline;5642b;5;2;20;0.2764
D1;scrambled_miRNA;Proline;5642b;4;2;20;0.332199991
D2;plant_miRNA;Proline;5642b;4;2;20;0.305999994
D4;N.A.;Proline;N.A.;5;N.A.;20;0.091899998
A1;plant_miRNA;Proline;5642b;1;2;21;0.280999988
A2;scrambled_miRNA;Proline;5642b;1;2;21;0.274599999
A4;N.A.;Proline;N.A.;2;N.A.;21;0.146500006
A5;plant_miRNA;Proline;5642b;3;2;21;0.316500008
B1;N.A.;Proline;N.A.;1;N.A.;21;0.096600004
B3;scrambled_miRNA;Proline;5642b;2;2;21;0.302700013
B4;plant_miRNA;Proline;5642b;2;2;21;0.315499991
B5;scrambled_miRNA;Proline;5642b;3;2;21;0.281199992
B6;N.A.;Proline;N.A.;3;N.A.;21;0.081900001
C2;N.A.;Proline;N.A.;4;N.A.;21;0.150099993
