Well_ID	Treatment	N_Source	miRNA	Pair	Dose (uM)	Time	OD_600
C6	N.A.	mix17AA	N.A.	5	N.A.	7	0.115500003
D3	scrambled_miRNA	mix17AA	ath827	4	2	7	0.224999994
D4	plant_miRNA	mix17AA	ath827	4	2	7	0.229800001
D5	scrambled_miRNA	mix17AA	ath827	5	2	7	0.212799996
D6	plant_miRNA	mix17AA	ath827	5	2	7	0.229000002
A1	No_miRNA	mix17AA	N.A.	1	N.A.	8	0.258599997
A2	N.A.	mix17AA	N.A.	1	N.A.	8	0.117200002
A3	scrambled_miRNA	mix17AA	ath827	2	2	8	0.273799986
A4	plant_miRNA	mix17AA	ath827	2	2	8	0.265500009
A5	N.A.	mix17AA	N.A.	3	N.A.	8	0.120499998
A6	No_miRNA	mix17AA	N.A.	3	N.A.	8	0.260500014
B1	plant_miRNA	mix17AA	ath827	1	2	8	0.231900007
B2	scrambled_miRNA	mix17AA	ath827	1	2	8	0.237399995
B3	No_miRNA	mix17AA	N.A.	2	N.A.	8	0.231299996
B4	N.A.	mix17AA	N.A.	2	N.A.	8	0.083999999
B5	plant_miRNA	mix17AA	ath827	3	2	8	0.222599998
B6	scrambled_miRNA	mix17AA	ath827	3	2	8	0.234699994
C3	N.A.	mix17AA	N.A.	4	N.A.	8	0.1241
C4	No_miRNA	mix17AA	N.A.	4	N.A.	8	0.260699987
C5	No_miRNA	mix17AA	N.A.	5	N.A.	8	0.26030001
C6	N.A.	mix17AA	N.A.	5	N.A.	8	0.115900002
D3	scrambled_miRNA	mix17AA	ath827	4	2	8	0.233500004
D4	plant_miRNA	mix17AA	ath827	4	2	8	0.236300007
D5	scrambled_miRNA	mix17AA	ath827	5	2	8	0.219400004
D6	plant_miRNA	mix17AA	ath827	5	2	8	0.238299996
A1	No_miRNA	mix17AA	N.A.	1	N.A.	9	0.271499991
A2	N.A.	mix17AA	N.A.	1	N.A.	9	0.119000003
A3	scrambled_miRNA	mix17AA	ath827	2	2	9	0.27610001
A4	plant_miRNA	mix17AA	ath827	2	2	9	0.271600008
A5	N.A.	mix17AA	N.A.	3	N.A.	9	0.120300002
A6	No_miRNA	mix17AA	N.A.	3	N.A.	9	0.271499991
B1	plant_miRNA	mix17AA	ath827	1	2	9	0.241400003
B2	scrambled_miRNA	mix17AA	ath827	1	2	9	0.244299993
B3	No_miRNA	mix17AA	N.A.	2	N.A.	9	0.2403
B4	N.A.	mix17AA	N.A.	2	N.A.	9	0.084200002
B5	plant_miRNA	mix17AA	ath827	3	2	9	0.229699999
B6	scrambled_miRNA	mix17AA	ath827	3	2	9	0.244100004
C3	N.A.	mix17AA	N.A.	4	N.A.	9	0.125799999
