Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
F2	scrambled_miRNA	mix17AA	ath827	1	2	2	0.1086
F3	N.A.	mix17AA	N.A.	1	N.A.	2	0.0872
F4	plant_miRNA	mix17AA	aof159	2	2	2	0.1102
F5	scrambled_miRNA	mix17AA	ath158b	2	2	2	0.1038
F6	scrambled_miRNA	mix17AA	ath158a3p	3	2	2	0.1072
F7	plant_miRNA	mix17AA	ath158b	3	2	2	0.1047
F8	N.A.	mix17AA	N.A.	4	N.A.	2	0.0939
F9	plant_miRNA	mix17AA	ath5642b	4	2	2	0.104
F10	scrambled_miRNA	mix17AA	aof159	5	2	2	0.1069
F11	plant_miRNA	mix17AA	ath827	5	2	2	0.105
G2	plant_miRNA	mix17AA	ath827	1	2	2	0.1077
G3	N.A.	mix17AA	N.A.	1	N.A.	2	0.1463
G4	scrambled_miRNA	mix17AA	aof159	2	2	2	0.1076
G5	plant_miRNA	mix17AA	ath158b	2	2	2	0.1051
G6	plant_miRNA	mix17AA	ath158a3p	3	2	2	0.1057
G7	scrambled_miRNA	mix17AA	ath158b	3	2	2	0.1044
G8	N.A.	mix17AA	N.A.	4	N.A.	2	0.0843
G9	scrambled_miRNA	mix17AA	ath5642b	4	2	2	0.104
G10	plant_miRNA	mix17AA	aof159	5	2	2	0.1065
G11	scrambled_miRNA	mix17AA	ath827	5	2	2	0.1126
B2	scrambled_miRNA	mix17AA	aof159	1	2	3	0.1429
B3	plant_miRNA	mix17AA	ath5642b	1	2	3	0.1397
B4	N.A.	mix17AA	N.A.	2	N.A.	3	0.0845
B5	plant_miRNA	mix17AA	ath158a3p	2	2	3	0.1416
B6	plant_miRNA	mix17AA	ath827	3	2	3	0.1453
B7	plant_miRNA	mix17AA	aof159	3	2	3	0.1448
B8	scrambled_miRNA	mix17AA	ath158a3p	4	2	3	0.1323
B9	scrambled_miRNA	mix17AA	ath827	4	2	3	0.1306
B10	scrambled_miRNA	mix17AA	ath5642b	5	2	3	0.1381
B11	plant_miRNA	mix17AA	ath158b	5	2	3	0.1383
C2	plant_miRNA	mix17AA	aof159	1	2	3	0.1413
C3	scrambled_miRNA	mix17AA	ath5642b	1	2	3	0.145
C4	N.A.	mix17AA	N.A.	2	N.A.	3	0.0902
C5	scrambled_miRNA	mix17AA	ath158a3p	2	2	3	0.1393
C6	scrambled_miRNA	mix17AA	ath827	3	2	3	0.1466
C7	scrambled_miRNA	mix17AA	aof159	3	2	3	0.1386
C8	plant_miRNA	mix17AA	ath158a3p	4	2	3	0.1341
C9	plant_miRNA	mix17AA	ath827	4	2	3	0.1337
C10	plant_miRNA	mix17AA	ath5642b	5	2	3	0.1384
C11	scrambled_miRNA	mix17AA	ath158b	5	2	3	0.1436
D2	scrambled_miRNA	mix17AA	ath158a3p	1	2	3	0.1492
D3	plant_miRNA	mix17AA	ath158b	1	2	3	0.1437
D4	scrambled_miRNA	mix17AA	ath5642b	2	2	3	0.1373
D5	plant_miRNA	mix17AA	ath827	2	2	3	0.1403
D6	N.A.	mix17AA	N.A.	3	N.A.	3	0.1089
D7	plant_miRNA	mix17AA	ath5642b	3	2	3	0.1439
