Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
F8	plant_miRNA	L-Phenylalanine	mix_5	4	10	3	0.103399999
F9	scrambled_miRNA	L-Serine	mix_5	4	10	3	0.099200003
F10	scrambled_miRNA	L-Valine	mix_5	5	10	3	0.103500001
F11	plant_miRNA	L-Leucine	mix_5	5	10	3	0.101599999
F12	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	3	0.077399999
G1	N.A.	L-Serine	N.A.	N.A.	N.A.	3	0.074500002
G2	scrambled_miRNA	L-Threonine	mix_5	1	10	3	0.094599999
G3	plant_miRNA	Mix17	mix_5	1	10	3	0.135800004
G4	scrambled_miRNA	L-Leucine	mix_5	2	10	3	0.092600003
G5	scrambled_miRNA	Mix17	mix_5	2	10	3	0.115699999
G6	scrambled_miRNA	L-Valine	mix_5	3	10	3	0.092799999
G7	plant_miRNA	L-Threonine	mix_5	3	10	3	0.089299999
G8	scrambled_miRNA	L-Phenylalanine	mix_5	4	10	3	0.093400002
G9	plant_miRNA	L-Serine	mix_5	4	10	3	0.087300003
G10	plant_miRNA	L-Valine	mix_5	5	10	3	0.094899997
G11	scrambled_miRNA	L-Leucine	mix_5	5	10	3	0.0902
G12	N.A.	Mix17	N.A.	N.A.	N.A.	3	0.074100003
H4	N.A.	L-Threonine	N.A.	N.A.	N.A.	3	0.071599998
H5	N.A.	L-Leucine	N.A.	N.A.	N.A.	3	0.075300001
H6	N.A.	L-Valine	N.A.	N.A.	N.A.	3	0.0792
H7	N.A.	Mix17	N.A.	N.A.	N.A.	3	0.072400004
H8	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	3	0.071500003
H10	N.A.	L-Serine	N.A.	N.A.	N.A.	3	0.071599998
A3	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	4	0.090700001
A4	N.A.	L-Threonine	N.A.	N.A.	N.A.	4	0.096500002
A5	N.A.	L-Serine	N.A.	N.A.	N.A.	4	0.093800001
A6	N.A.	L-Leucine	N.A.	N.A.	N.A.	4	0.092200004
A7	N.A.	L-Valine	N.A.	N.A.	N.A.	4	0.099299997
A8	N.A.	Mix17	N.A.	N.A.	N.A.	4	0.089400001
B1	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	4	0.080899999
B2	plant_miRNA	L-Valine	mix_5	1	10	4	0.124499999
B3	scrambled_miRNA	L-Leucine	mix_5	1	10	4	0.107699998
B4	plant_miRNA	L-Serine	mix_5	2	10	4	0.103600003
B5	scrambled_miRNA	L-Threonine	mix_5	2	10	4	0.096900001
B6	scrambled_miRNA	L-Phenylalanine	mix_5	3	10	4	0.1052
B7	plant_miRNA	Mix17	mix_5	3	10	4	0.202099994
B8	plant_miRNA	Mix17	mix_5	4	10	4	0.201100007
B9	plant_miRNA	L-Valine	mix_5	4	10	4	0.112300001
B10	scrambled_miRNA	L-Serine	mix_5	5	10	4	0.105700001
B11	scrambled_miRNA	L-Phenylalanine	mix_5	5	10	4	0.104000002
B12	N.A.	L-Leucine	N.A.	N.A.	N.A.	4	0.084899999
C1	N.A.	L-Threonine	N.A.	N.A.	N.A.	4	0.074000001
C2	scrambled_miRNA	L-Valine	mix_5	1	10	4	0.107500002
C3	plant_miRNA	L-Leucine	mix_5	1	10	4	0.101499997
C4	scrambled_miRNA	L-Serine	mix_5	2	10	4	0.098499998
C5	plant_miRNA	L-Threonine	mix_5	2	10	4	0.088
C6	plant_miRNA	L-Phenylalanine	mix_5	3	10	4	0.101400003
C7	scrambled_miRNA	Mix17	mix_5	3	10	4	0.127100006
C8	scrambled_miRNA	Mix17	mix_5	4	10	4	0.146599993
C9	scrambled_miRNA	L-Valine	mix_5	4	10	4	0.104000002
C10	plant_miRNA	L-Serine	mix_5	5	10	4	0.092100002
C11	plant_miRNA	L-Phenylalanine	mix_5	5	10	4	0.096799999
C12	N.A.	L-Valine	N.A.	N.A.	N.A.	4	0.081
D1	N.A.	L-Leucine	N.A.	N.A.	N.A.	4	0.077500001
D2	scrambled_miRNA	L-Serine	mix_5	1	10	4	0.098700002
