Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
E8	plant_miRNA	L-Lysine	mix_5	4	10	1	0.0957
E9	scrambled_miRNA	L-Isoleucine	mix_5	4	10	1	0.1005
E10	plant_miRNA	Glycine	mix_5	5	10	1	0.0937
E11	plant_miRNA	L-Proline	mix_5	5	10	1	0.0922
E12	N.A.	L-Proline	N.A.	N.A.	N.A.	1	0.0881
F1	N.A.	L-Proline	N.A.	N.A.	N.A.	1	0.0902
F2	scrambled_miRNA	L-Proline	mix_5	1	10	1	0.1024
F3	plant_miRNA	L-Lysine	mix_5	1	10	1	0.0928
F4	plant_miRNA	L-Isoleucine	mix_5	2	10	1	0.1011
F5	plant_miRNA	L-Tryptophan	mix_5	2	10	1	0.0939
F6	scrambled_miRNA	L-Lysine	mix_5	3	10	1	0.0885
F7	plant_miRNA	L-Proline	mix_5	3	10	1	0.0931
F8	scrambled_miRNA	Glycine	mix_5	4	10	1	0.1026
F9	plant_miRNA	L-Methionine	mix_5	4	10	1	0.0951
F10	scrambled_miRNA	L-Methionine	mix_5	5	10	1	0.0925
F11	scrambled_miRNA	L-Tryptophan	mix_5	5	10	1	0.0919
F12	N.A.	L-Methionine	N.A.	N.A.	N.A.	1	0.0861
G1	N.A.	Glycine	N.A.	N.A.	N.A.	1	0.0873
G2	plant_miRNA	L-Proline	mix_5	1	10	1	0.1014
G3	scrambled_miRNA	L-Lysine	mix_5	1	10	1	0.0962
G4	scrambled_miRNA	L-Isoleucine	mix_5	2	10	1	0.0998
G5	scrambled_miRNA	L-Tryptophan	mix_5	2	10	1	0.093
G6	plant_miRNA	L-Lysine	mix_5	3	10	1	0.0937
G7	scrambled_miRNA	L-Proline	mix_5	3	10	1	0.0943
G8	plant_miRNA	Glycine	mix_5	4	10	1	0.0907
G9	scrambled_miRNA	L-Methionine	mix_5	4	10	1	0.0963
G10	plant_miRNA	L-Methionine	mix_5	5	10	1	0.094
G11	plant_miRNA	L-Tryptophan	mix_5	5	10	1	0.0929
G12	N.A.	L-Lysine	N.A.	N.A.	N.A.	1	0.0827
H4	N.A.	L-Methionine	N.A.	N.A.	N.A.	1	0.0889
H5	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	1	0.0899
H6	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	1	0.0922
H7	N.A.	Glycine	N.A.	N.A.	N.A.	1	0.0904
H9	N.A.	L-Lysine	N.A.	N.A.	N.A.	1	0.0947
H11	N.A.	L-Proline	N.A.	N.A.	N.A.	1	0.0924
A4	N.A.	L-Lysine	N.A.	N.A.	N.A.	2	0.0788
A5	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	2	0.0819
A6	N.A.	L-Proline	N.A.	N.A.	N.A.	2	0.0844
A7	N.A.	Glycine	N.A.	N.A.	N.A.	2	0.0864
A8	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	2	0.0896
A9	N.A.	L-Methionine	N.A.	N.A.	N.A.	2	0.0876
B1	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	2	0.0954
B2	plant_miRNA	L-Isoleucine	mix_5	1	10	2	0.1047
B3	plant_miRNA	L-Tryptophan	mix_5	1	10	2	0.0945
B4	scrambled_miRNA	Glycine	mix_5	2	10	2	0.0963
B5	plant_miRNA	L-Lysine	mix_5	2	10	2	0.0943
B6	scrambled_miRNA	L-Methionine	mix_5	3	10	2	0.0961
B7	plant_miRNA	Glycine	mix_5	3	10	2	0.0979
B8	scrambled_miRNA	L-Tryptophan	mix_5	4	10	2	0.0984
B9	plant_miRNA	L-Proline	mix_5	4	10	2	0.0959
B10	scrambled_miRNA	L-Lysine	mix_5	5	10	2	0.0948
B11	scrambled_miRNA	L-Isoleucine	mix_5	5	10	2	0.0919
B12	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	2	0.0849
C1	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	2	0.0912
C2	scrambled_miRNA	L-Isoleucine	mix_5	1	10	2	0.1055
