Well_ID	Plate	Pair	miRNA	Treatment	N_Source	Time	OD540
F1	1	C	Mix5	Plant	Mix_AA	6	0.179100007
F2	1	C	Mix5	Scramble	Mix_AA	6	0.172700003
F3	1	C	ath-miR827	Plant	Mix_AA	6	0.180800006
F4	1	C	ath-miR827	Scramble	Mix_AA	6	0.187900007
F5	1	C	ath-miR5642b	Plant	Mix_AA	6	0.192499995
F6	1	C	ath-miR5642b	Scramble	Mix_AA	6	0.192599997
F7	1	C	Ctl-2	NA	Mix_AA	6	0.215499997
G1	1	C	ath-miR158b	Plant	Mix_AA	24	0.160500005
G2	1	C	ath-miR158b	Scramble	Mix_AA	24	0.164100006
G3	1	C	ath-miR158a3p	Plant	Mix_AA	24	0.149900004
G4	1	C	ath-miR158a3p	Scramble	Mix_AA	24	0.158500001
G5	1	C	ath-miR159	Plant	Mix_AA	24	0.145600006
G6	1	C	ath-miR159	Scramble	Mix_AA	24	0.150199994
G7	1	C	Ctl-1	NA	Mix_AA	24	0.2183
H1	1	C	Mix5	Plant	Mix_AA	24	0.151199996
H2	1	C	Mix5	Scramble	Mix_AA	24	0.145099998
H3	1	C	ath-miR827	Plant	Mix_AA	24	0.161300004
H4	1	C	ath-miR827	Scramble	Mix_AA	24	0.159600005
H5	1	C	ath-miR5642b	Plant	Mix_AA	24	0.167199999
H6	1	C	ath-miR5642b	Scramble	Mix_AA	24	0.164299995
H7	1	C	Ctl-2	NA	Mix_AA	24	0.233999997
A8	1	C	NA	std	500	NA	0.371399999
B8	1	C	NA	std	250	NA	0.230599999
C8	1	C	NA	std	125	NA	0.156100005
D8	1	C	NA	std	62.5	NA	0.112599999
E8	1	C	NA	std	31.3	NA	0.100400001
F8	1	C	NA	std	15.6	NA	0.090400003
G8	1	C	NA	std	0	NA	0.081500001
A10	1	C	NA	std	0	NA	0.127000004
B10	1	C	NA	std	15.6	NA	0.117700003
C10	1	C	NA	std	31.3	NA	0.112400003
D10	1	C	NA	std	62.5	NA	0.128099993
C11	1	C	NA	std	125	NA	0.202800006
D11	1	C	NA	std	250	NA	0.260699987
C12	1	C	NA	std	500	NA	0.379599988
A1	2	C	ath-miR158b	Plant	Mix_AA	0	0.262699991
A2	2	C	ath-miR158b	Scramble	Mix_AA	0	0.238399997
A3	2	C	ath-miR158a3p	Plant	Mix_AA	0	0.231800005
A4	2	C	ath-miR158a3p	Scramble	Mix_AA	0	0.246700004
A5	2	C	ath-miR159	Plant	Mix_AA	0	0.249699995
A6	2	C	ath-miR159	Scramble	Mix_AA	0	0.257099986
A7	2	C	Ctl-1	NA	Mix_AA	0	0.236399993
